# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
3920	4.7138E-001	5.5535E-004	5.5758E-002	10080	-8.7055E-003	-2.4410E-002	-7.4416E-003	7.2962E-003	1.4764E-002
3921	4.5409E-001	5.5041E-004	5.5268E-002	10082	-8.0613E-003	-2.4071E-002	-5.9039E-003	1.1219E-002	1.8605E-002
3922	4.4159E-001	5.4155E-004	5.4369E-002	10079	-8.2215E-003	-2.2507E-002	-4.8550E-003	6.6193E-003	1.7313E-002
3923	4.3279E-001	5.4428E-004	5.4655E-002	10083	-8.7866E-003	-2.1258E-002	-9.1740E-003	-1.1985E-003	1.1425E-002
3924	4.2416E-001	5.5745E-004	5.5979E-002	10084	-9.2014E-003	-2.2678E-002	-1.2321E-002	-9.6444E-003	1.0753E-002
3925	4.1343E-001	5.6214E-004	5.6462E-002	10088	-9.5574E-003	-2.3001E-002	-1.3189E-002	-1.9444E-002	6.3802E-003
3926	3.9796E-001	5.5995E-004	5.6225E-002	10082	-9.8710E-003	-2.1037E-002	-1.7925E-002	-2.1421E-002	4.1428E-003
3927	3.7502E-001	5.4089E-004	5.4316E-002	10084	-8.7307E-003	-2.0980E-002	-1.7725E-002	-1.9564E-002	5.9823E-003
3928	3.4349E-001	5.2068E-004	5.2291E-002	10086	-7.3231E-003	-2.0008E-002	-1.4395E-002	-1.4291E-002	5.7670E-003
3929	3.0965E-001	4.9459E-004	4.9665E-002	10084	-6.3533E-003	-1.6128E-002	-8.0546E-003	-2.3624E-003	1.0223E-002
3930	2.7229E-001	4.6683E-004	4.6863E-002	10077	-5.2325E-003	-1.4184E-002	-1.8024E-003	5.8736E-003	1.3311E-002
3931	2.3679E-001	4.5363E-004	4.5514E-002	10067	-3.4063E-003	-1.2168E-002	6.5127E-004	1.3043E-002	1.4452E-002
3932	2.0667E-001	4.4209E-004	4.4343E-002	10061	-2.5265E-003	-1.0401E-002	4.5223E-003	1.6946E-002	1.8465E-002
3933	1.8348E-001	4.4036E-004	4.4176E-002	10064	-1.8587E-003	-8.5830E-003	4.1423E-003	2.6656E-002	1.9383E-002
3934	1.7105E-001	4.3962E-004	4.4117E-002	10070	-8.4913E-004	-6.9165E-003	7.8282E-003	3.0742E-002	1.6399E-002
3935	1.7129E-001	4.4497E-004	4.4680E-002	10082	-6.9879E-004	-6.1121E-003	8.9153E-003	2.9730E-002	1.9827E-002
3936	1.8424E-001	4.3601E-004	4.3798E-002	10091	-1.4858E-003	-6.7670E-003	5.8253E-003	2.5474E-002	2.0382E-002
3937	2.0841E-001	4.4184E-004	4.4405E-002	10100	-2.9815E-003	-9.5486E-003	-4.2159E-004	1.5470E-002	2.0954E-002
3938	2.3875E-001	4.5084E-004	4.5305E-002	10098	-4.5551E-003	-1.2683E-002	-3.6148E-003	3.7553E-003	1.0527E-002
3939	2.7237E-001	4.8003E-004	4.8236E-002	10098	-5.9855E-003	-1.4662E-002	-9.4170E-003	-5.0072E-003	9.4115E-003
3940	3.0453E-001	4.9533E-004	4.9772E-002	10097	-7.1715E-003	-1.6072E-002	-1.4401E-002	-1.6968E-002	4.2405E-003
3941	3.3165E-001	5.0952E-004	5.1217E-002	10104	-8.1855E-003	-1.7032E-002	-1.5848E-002	-1.9870E-002	1.4207E-003
3942	3.5108E-001	5.1953E-004	5.2230E-002	10107	-8.4046E-003	-1.8517E-002	-1.8611E-002	-2.0516E-002	5.8047E-003
3943	3.6586E-001	5.3141E-004	5.3427E-002	10108	-8.6066E-003	-1.9903E-002	-1.6728E-002	-1.3424E-002	8.9236E-003
3944	3.8074E-001	5.3238E-004	5.3535E-002	10112	-8.7651E-003	-1.9884E-002	-1.2780E-002	-6.4958E-003	9.7112E-003
3945	3.9680E-001	5.3370E-004	5.3674E-002	10114	-8.9421E-003	-1.9486E-002	-1.2425E-002	-2.4876E-003	1.3621E-002
3946	4.1452E-001	5.3571E-004	5.3880E-002	10116	-9.1235E-003	-1.9994E-002	-1.3303E-002	-3.0277E-003	1.4511E-002
3947	4.3534E-001	5.5294E-004	5.5617E-002	10117	-9.5968E-003	-2.2257E-002	-1.0172E-002	-7.2559E-003	1.4512E-002
3948	4.5740E-001	5.5561E-004	5.5904E-002	10124	-9.6518E-003	-2.2706E-002	-1.1408E-002	-1.0191E-002	1.2006E-002
3949	4.7753E-001	5.4900E-004	5.5250E-002	10128	-9.5398E-003	-2.2788E-002	-1.5445E-002	-1.3471E-002	8.4373E-003
3950	4.9491E-001	5.6120E-004	5.6490E-002	10132	-9.9921E-003	-2.2322E-002	-1.6929E-002	-1.0516E-002	1.5017E-003
3951	5.0838E-001	5.5795E-004	5.6173E-002	10136	-9.4997E-003	-2.2781E-002	-1.5328E-002	-5.9416E-003	3.1254E-003
3952	5.1749E-001	5.6150E-004	5.6542E-002	10140	-9.2583E-003	-2.3668E-002	-9.8472E-003	-2.5766E-003	2.6890E-003
3953	5.2334E-001	5.6637E-004	5.7043E-002	10144	-9.5509E-003	-2.3448E-002	-1.3672E-002	-6.2108E-003	-1.1397E-003
